parameter,level,current_source,proposed_source,can_estimate_now,required_inputs,priority,implementation_phase,risk,notes
horizontal_scale,style,estimated,font_outline,true,font_style_gap_summary.csv; font_style_gap_style_means.csv,high,phase_1,low,"Estimate style-level horizontal expansion from font bbox/aspect statistics, then keep manual review for outlier chars."
vertical_scale,style,estimated,font_outline,true,font_style_gap_summary.csv; font_style_gap_style_means.csv,high,phase_1,low,Pair with horizontal_scale; avoid making lishu only a global squash.
smoothness,style,estimated,font_outline,false,font skeleton or contour curvature; manual visual feedback,medium,phase_2,medium,"Static contour curvature can provide a weak hint, but writing smoothness is temporal."
corner_rounding,style,estimated,font_outline,false,font contour curvature; turning angle statistics,medium,phase_2,medium,"Useful for distinguishing xingkai softness from kaishu corners, but contour-only estimates need visual validation."
speed_scale,process_prior,default_prior,process_prior,false,real handwriting trajectory; robot dry-run constraints,low,phase_3,high,Do not estimate real writing speed from static font outlines.
connection_strength,process_prior,default_prior,visual_feedback,false,manual visual feedback; connector audit; trajectory or stroke order data,medium,phase_3,high,Static connected components only weakly correspond to inter-stroke connector strength.
allow_interstroke_connections,process_prior,manual_prior,process_prior,false,style policy; manual visual feedback,high,phase_3,medium,Keep kaishu and lishu disabled unless explicit evidence says otherwise.
pen_up_height,process_prior,default_prior,process_prior,false,robot workspace calibration; execution safety requirements,low,phase_3,high,"Robot/process parameter, not derivable from static fonts."
base_width,style,manual_prior,font_outline,true,font_stroke_width_mean; trajectory_mean_width,high,phase_1,low,Use font distance-transform width statistics as a first-pass style width hint.
stroke_width_distribution,style,manual_prior,font_outline,true,font_stroke_width_mean; font_stroke_width_std,high,phase_1,medium,Move beyond one mean width by storing style-level width spread.
stroke_start_width_scale,process_prior,manual_prior,visual_feedback,false,execution refinement visual audit; stroke endpoint annotations,medium,phase_3,medium,"Taper is execution-layer evidence, not direct font style source."
stroke_mid_width_scale,process_prior,manual_prior,visual_feedback,false,execution refinement visual audit,medium,phase_3,medium,Keep as controlled execution-layer parameter until better stroke-local data exists.
stroke_end_width_scale,process_prior,manual_prior,visual_feedback,false,execution refinement visual audit; stroke endpoint annotations,medium,phase_3,medium,Do not infer calligraphic end taper solely from static font fill.
pressure_curve,process_prior,manual_prior,process_prior,false,real pen pressure or robot process data,low,phase_3,high,Static font cannot provide true pressure timing.
connector_trigger,process_prior,manual_prior,visual_feedback,false,connector visual audit; stroke order; human feedback,medium,phase_3,high,Connected components can only flag candidate styles; trigger rules are temporal and structural.
connector_shape,process_prior,manual_prior,visual_feedback,false,balanced connector visual feedback,medium,phase_3,medium,"Keep slight_curve as candidate execution-layer rule, not a font-derived style default."
connector_width_scale,process_prior,manual_prior,visual_feedback,false,execution pressure/width visualization,medium,phase_3,medium,Needs visual or process evidence; font component connectedness is insufficient.
component_width_ratio,component,unsupported,font_outline,false,component segmentation; char-level font contours,high,phase_2,medium,Important for avoiding lishu as only global horizontal stretch.
component_height_ratio,component,unsupported,font_outline,false,component segmentation; char-level font contours,high,phase_2,medium,Pair with component_width_ratio for structure-aware style adaptation.
horizontal_projection_distribution,style,unsupported,font_outline,true,font_horizontal_projection_spread,high,phase_1,medium,A compact summary can be estimated now; full distribution needs a schema design.
vertical_projection_distribution,style,unsupported,font_outline,true,font_vertical_projection_spread,high,phase_1,medium,Useful for detecting lishu top/bottom compression and xingkai layout drift.
lishu_flatness,style,manual_prior,font_outline,true,font_aspect_ratio; trajectory_aspect_ratio,high,phase_1,low,"Can be derived from lishu font aspect statistics, but must not be treated as full lishu structure."
xingkai_connectedness_prior,style,manual_prior,font_outline,false,font_connected_component_count; manual visual feedback; stroke order,medium,phase_2,high,Static font connectedness is a weak hint; do not directly map it to connector_count.
