figure_id,filename,source_path,source_experiment,paper_section,caption_draft,status,needs_manual_check,notes
fig1,fig1_system_pipeline.png,generated_from_docs,mini paper method overview,系统总体方案,System pipeline from natural language to deterministic trajectory and dry-run precheck.,generated,no,LLM 不直接生成轨迹；轨迹由本地确定性工具生成。
fig2a,fig2_modifier_control_connection.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\batch_20260613_154131\modifier_ablation_u5c71.png,modifier connection ablation,自然语言约束有效性,Modifier connection control: none / weak / normal for xingkai 山.,copied,yes,重点人工看 weak / normal connector 是否自然。
fig2b,fig2_modifier_control_shape.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\batch_20260613_085440\modifier_ablation_shape_u4e2d.png,modifier shape ablation,自然语言约束有效性,Modifier shape control: normal / flatter / wider for lishu 中.,copied,yes,重点人工看 lishu 是否只是横向拉宽；subplot titles use shape_emphasis normal/flatter/wider.
fig2c,fig2_modifier_control_smoothness.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\batch_20260613_085440\modifier_ablation_smoothness_u6c38.png,modifier smoothness ablation,自然语言约束有效性,Modifier smoothness control for kaishu/yong and conservative xingkai.,copied,yes,mean_turning 不够敏感，人工看转折和整体观感。
fig3a,fig3_xingkai_connector_levels_u56fd.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u56fd_xingkai.png,xingkai balanced connector experiment,行楷 connector rule ablation,"Xingkai 国 connector levels: all-adjacent baseline, conservative v1, balanced v2.",copied,yes,重点人工看 all-adjacent 是否过多、balanced 是否折中。
fig3b,fig3_xingkai_connector_levels_u5fb7.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u5fb7_xingkai.png,xingkai balanced connector experiment,行楷 connector rule ablation,"Xingkai 德 connector levels: all-adjacent baseline, conservative v1, balanced v2.",copied,yes,德是 connector 数量变化明显样本，建议重点看。
fig3c,fig3_xingkai_connector_levels_u660e.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\compare_connector_levels_u660e_xingkai.png,xingkai balanced connector experiment,行楷 connector rule ablation,"Xingkai 明 connector levels: all-adjacent baseline, conservative v1, balanced v2.",copied,yes,明在 balanced 中从清零恢复少量 connector，建议重点看。
fig4,fig4_execution_width_pressure.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\xingkai_balanced_experiment_20260618_141424\figures\width_pressure_balanced_u56fd_xingkai.png,execution width / pressure visualization,二维执行层表达,Execution-layer width/pressure visualization for xingkai 国.,copied,yes,重点人工看 stroke taper 与 connector thinner 是否可见。
supp1,supplementary/supp_font_style_grid.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_style_gap_analysis_20260618_144838\figures\font_style_grid.png,font style gap analysis,补充材料,Font style grid for kaishu/xingkai/lishu source fonts.,copied,yes,用于说明真实字体轮廓与当前参数化轨迹之间的差距。
supp2,supplementary/supp_font_vs_trajectory_aspect_ratio.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_style_gap_analysis_20260618_144838\figures\font_vs_trajectory_aspect_ratio.png,font style gap analysis,补充材料,Font aspect ratio vs trajectory aspect ratio.,copied,no,仅作为补充指标图。
supp3,supplementary/supp_lishu_flatness_gap.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\font_style_gap_analysis_20260618_144838\figures\lishu_flatness_gap.png,font style gap analysis,补充材料,Lishu flatness gap between source font and current trajectory.,copied,yes,重点人工看 lishu 是否仍像压扁楷书。
supp4,supplementary/supp_phase1_current_vs_scale.png,D:\sw data\vscode\shufa\experiments\llm_style_trajectory\outputs\style_profile_phase1_estimates_20260618_152952\figures\current_vs_phase1_scale.png,Phase 1 readonly estimates,补充材料,Current profile scale vs Phase 1 readonly hints.,copied,no,readonly estimate，不接默认流程。
