figure_id,figure_file,evaluation_target,visual_question,score_1_to_5,manual_comment,accept_for_paper,revision_suggestion
fig2a,fig2_modifier_control_connection.png,modifier 控制是否可见,不要连笔 / weak / normal 的差异是否清楚，weak 和 normal connector 是否自然？,,,,
fig2b,fig2_modifier_control_shape.png,modifier 控制是否可见,normal / flatter / wider 的宽扁变化是否肉眼可分？,,,,
fig2c,fig2_modifier_control_smoothness.png,modifier 控制是否可见,更圆滑 / 更平滑 / 更保守在转折和整体曲线感上是否能看出来？,,,,
fig3a,fig3_xingkai_connector_levels_u56fd.png,行楷 connector 是否自然,国字中 all-adjacent 是否过多，balanced 是否比 conservative 更合适？,,,,
fig3b,fig3_xingkai_connector_levels_u5fb7.png,行楷 connector 是否自然,德字中 balanced 曲线 connector 是否像带过去，而不是硬连线？,,,,
fig3c,fig3_xingkai_connector_levels_u660e.png,行楷 connector 是否自然,明字中 balanced 恢复的少量 connector 是否自然？,,,,
fig4,fig4_execution_width_pressure.png,stroke taper / pressure-width 可视化是否清楚,stroke taper 和 connector thinner / lower pressure 是否足够直观？,,,,
supp3,supplementary/supp_lishu_flatness_gap.png,隶书是否只是横向拉宽/纵向压扁,隶书是否仍像压扁楷书，还是有可见的真实隶书特征？,,,,
supp1,supplementary/supp_font_style_grid.png,隶书是否只是横向拉宽/纵向压扁,真实字体轮廓与当前参数化轨迹之间的差距是否能支撑局限性讨论？,,,,
fig2b,fig2_modifier_control_shape.png,布局是否自然,宽扁/更宽后的字形是否出现挤压、变形或布局不自然？,,,,
fig3a,fig3_xingkai_connector_levels_u56fd.png,布局是否自然,多 connector 情况下整体布局是否仍稳定，是否影响字形识别？,,,,
fig1,fig1_system_pipeline.png,是否适合作为论文主图,流程图是否清楚表达 LLM 不直接生成轨迹、本地确定性工具生成 CSV？,,,,
fig2a,fig2_modifier_control_connection.png,是否适合作为论文主图,该图是否足以作为自然语言 modifier 可控性的正文主图？,,,,
fig3b,fig3_xingkai_connector_levels_u5fb7.png,是否适合作为论文主图,该图是否足以作为行楷 connector rule 消融的正文主图？,,,,
fig4,fig4_execution_width_pressure.png,是否适合作为论文主图,该图是否足以作为 execution width/pressure 可视化正文主图？,,,,
